;X;File_name;Com_number;S_number;Signal;S_start_T_V;S_end_T_V;S_duration_V;S_Dur_ana;Signal_record;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
24;45;ZEWACT_081121_Exp2;VEC0005a;VEV0004;Vocalisation;81929;85860;3931;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;Unk;No;HW not visible;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
25;47;ZEWACT_081121_Exp2;VEC0005a;VEV0006;Vocalisation;131238;131951;713;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;NV;Yes;Not fully shore it was HW;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
38;62;ZEWACT_081121_Exp2;VEC0005b;VEV0008;Vocalisation;142987;146957;3970;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;Seen in video who voc;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;HW;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
52;83;ZEWACT_101121_Exp4;VEC0006a;VEV0009;Vocalisation;473611;477669;4058;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;NA;NA;NA;NA;NA;NA
53;84;ZEWACT_101121_Exp4;VEC0006a;VEV0010;Vocalisation;481520;486645;5125;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;NA;NA;NA;NA;NA;NA
54;85;ZEWACT_101121_Exp4;VEC0006a;VEV0011;Vocalisation;505280;509500;4220;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;NA;NA;NA;NA;NA;NA
55;86;ZEWACT_101121_Exp4;VEC0006a;VEV0012;Vocalisation;520203;522448;2245;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NV;Yes;NA;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;NA;NA;NA;NA;NA;NA
56;87;ZEWACT_101121_Exp4;VEC0006a;VEV0013;Vocalisation;524420;528734;4314;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;NA;NA;NA;NA;NA;NA
57;88;ZEWACT_101121_Exp4;VEC0006a;VEV0014;Vocalisation;529507;531267;1760;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NV;Yes;NA;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;NA;NA;NA;NA;NA;NA
58;89;ZEWACT_101121_Exp4;VEC0006a;VEV0015;Vocalisation;533500;539268;5768;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;NA;NA;NA;NA;NA;NA
64;95;ZEWACT_101121_Exp4;VEC0006b;VEV0016;Vocalisation;473440;474655;1215;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NA;TT;40;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;MN;26;Male;0.178494222;Different;NA;NA;NA;NA;NA;NA;NA
65;96;ZEWACT_101121_Exp4;VEC0006b;VEV0017;Vocalisation;528734;529489;755;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;Unk;Yes;NA;TT;40;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;MN;26;Male;0.178494222;Different;NA;NA;NA;NA;NA;NA;NA
74;107;ZEWACT_111121_Exp6;VEC0007a;VEV0018;Vocalisation;282711;285412;2701;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
75;108;ZEWACT_111121_Exp6;VEC0007a;VEV0019;Vocalisation;286880;290600;3720;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
76;109;ZEWACT_111121_Exp6;VEC0007a;VEV0021;Vocalisation;297820;298523;703;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
86;120;ZEWACT_111121_Exp6;VEC0007b;VEV0020;Vocalisation;285040;287540;2500;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
93;137;ZEWACT_121121_Exp9_LG1;VEC0009a;VEV0024;Vocalisation;329320;335440;6120;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;DM;46;Male;Rest;Af_Lit_Greet;Urinating;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
94;138;ZEWACT_121121_Exp9_LG1;VEC0009a;VEV0025;Vocalisation;350000;354560;4560;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;DM;46;Male;Rest;Af_Lit_Greet;Urinating;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
95;139;ZEWACT_121121_Exp9_LG1;VEC0009a;VEV0026;Vocalisation;376733;378309;1576;Exclude;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;DM;46;Male;Rest;Af_Lit_Greet;Urinating;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
105;149;ZEWACT_121121_Exp9_LG1;VEC0009b;VEV0029;Vocalisation;348560;351800;3240;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
106;150;ZEWACT_121121_Exp9_LG1;VEC0009b;VEV0030;Vocalisation;364660;369440;4780;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
107;151;ZEWACT_121121_Exp9_LG1;VEC0009b;VEV0031;Vocalisation;372660;378480;5820;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
135;183;ZEWACT_141121_Exp10_LG1;VEC0010b;VEV0027;Vocalisation;312247;315237;2990;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
136;184;ZEWACT_141121_Exp10_LG1;VEC0010b;VEV0028;Vocalisation;318800;326088;7288;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
171;220;ZEWACT_151121_Exp12_LG1;VEC0011b;VEV0032;Vocalisation;292160;296040;3880;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;TT;40;Female;Drinking;Af_Lit_Greet;None;Greet_unc;MN;26;Male;0.178494222;Different;NA;NA;NA;NA;NA;NA;NA
172;221;ZEWACT_151121_Exp12_LG1;VEC0011b;VEV0033;Vocalisation;298040;301120;3080;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;TT;40;Female;Drinking;Af_Lit_Greet;None;Greet_unc;MN;26;Male;0.178494222;Different;NA;NA;NA;NA;NA;NA;NA
194;246;ZEWACT_161121_Exp13_LG1;VEC0012a;VEV0038;Vocalisation;273040;277120;4080;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;HW;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
195;247;ZEWACT_161121_Exp13_LG1;VEC0012a;VEV0039;Vocalisation;287760;293520;5760;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;HW;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
217;270;ZEWACT_161121_Exp13_LG1;VEC0012b;VEV0034;Vocalisation;249400;254620;5220;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;Or rumble-roar-rumble?;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
218;271;ZEWACT_161121_Exp13_LG1;VEC0012b;VEV0035;Vocalisation;258980;263004;4024;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
219;272;ZEWACT_161121_Exp13_LG1;VEC0012b;VEV0036;Vocalisation;267920;271720;3800;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
220;273;ZEWACT_161121_Exp13_LG1;VEC0012b;VEV0037;Vocalisation;280320;285080;4760;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
221;274;ZEWACT_161121_Exp13_LG1;VEC0012b;VEV0047;Vocalisation;288920;292160;3240;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
266;323;ZEWACT_171121_Exp15_LG1;VEC0014a;VEV0040;Vocalisation;233600;238520;4920;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NSG;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
267;324;ZEWACT_171121_Exp15_LG1;VEC0014a;VEV0041;Vocalisation;240933;244773;3840;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
268;325;ZEWACT_171121_Exp15_LG1;VEC0014a;VEV0042;Vocalisation;247613;252106;4493;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
269;326;ZEWACT_171121_Exp15_LG1;VEC0014a;VEV0043;Vocalisation;254866;261440;6574;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
270;327;ZEWACT_171121_Exp15_LG1;VEC0014a;VEV0044;Vocalisation;263159;264060;901;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
271;328;ZEWACT_171121_Exp15_LG1;VEC0014a;VEV0045;Vocalisation;275689;276163;474;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;NV;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
292;352;ZEWACT_171121_Exp15_LG1;VEC0014b;VEV0046;Vocalisation;309260;314000;4740;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
316;379;ZEWACT_171121_Exp16_LG1;VEC0015a;VEV0241;Vocalisation;557400;558520;1120;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;MN;26;Male;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
317;380;ZEWACT_171121_Exp16_LG1;VEC0015a;VEV0048;Vocalisation;559340;560020;680;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;MN;26;Male;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
318;381;ZEWACT_171121_Exp16_LG1;VEC0015a;VEV0049;Vocalisation;561906;565693;3787;Exclude_start;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MN;26;Male;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
334;398;ZEWACT_171121_Exp16_LG1;VEC0015b;VEV0051;Vocalisation;534120;539360;5240;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Listening;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
335;399;ZEWACT_171121_Exp16_LG1;VEC0015b;VEV0052;Vocalisation;558720;563733;5013;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Listening;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
336;400;ZEWACT_171121_Exp16_LG1;VEC0015b;VEV0053;Vocalisation;566880;571720;4840;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Listening;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
348;421;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0055;Vocalisation;282280;285400;3120;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
349;422;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0056;Vocalisation;288280;292400;4120;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
350;423;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0057;Vocalisation;301972;308240;6268;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
351;424;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0058;Vocalisation;319680;328000;8320;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
352;425;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0059;Vocalisation;332140;339120;6980;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
361;434;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0060;Vocalisation;281160;282360;1200;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
362;435;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0061;Vocalisation;285280;286840;1560;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Unk;No;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
363;436;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0062;Vocalisation;286900;288420;1520;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Unk;No;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
364;437;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0063;Vocalisation;314200;319680;5480;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
365;438;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0064;Vocalisation;334140;338380;4240;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
374;447;ZEWACT_181121_Exp18_LG1;VEC0017a;VEV0065;Vocalisation;459800;464240;4440;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;TT;40;Female;Travel;Af_Lit_Greet;None;Greet_sgn;DM;46;Male;0.148925335;Different;NA;NA;NA;NA;NA;NA;NA
377;450;ZEWACT_181121_Exp18_LG1;VEC0017b;VEV0066;Vocalisation;466120;469120;3000;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;TT;40;Female;0.148925335;Different;NA;NA;NA;NA;NA;NA;NA
391;466;ZEWACT_191121_Exp19_LG1;VEC0018a;VEV0067;Vocalisation;305802;310680;4878;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
392;467;ZEWACT_191121_Exp19_LG1;VEC0018a;VEV0068;Vocalisation;316800;321840;5040;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
393;468;ZEWACT_191121_Exp19_LG1;VEC0018a;VEV0069;Vocalisation;328480;330760;2280;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
410;486;ZEWACT_191121_Exp19_LG1;VEC0018b;VEV0070;Vocalisation;323544;328240;4696;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
411;487;ZEWACT_191121_Exp19_LG1;VEC0018b;VEV0071;Vocalisation;329925;332540;2615;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
412;488;ZEWACT_191121_Exp19_LG1;VEC0018b;VEV0072;Vocalisation;339712;343020;3308;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NSG;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
452;537;ZEWACT_211121_Exp21_LG1;VEC0020a;VEV0306;Vocalisation;253000;255320;2320;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
