;X;File_name;Com_number;S_number;Signal;S_start_T_V;S_end_T_V;S_duration_V;S_Dur_ana;Signal_record;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
453;538;ZEWACT_211121_Exp21_LG1;VEC0020a;VEV0076;Vocalisation;261362;263480;2118;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
454;539;ZEWACT_211121_Exp21_LG1;VEC0020a;VEV0077;Vocalisation;274657;278180;3523;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
455;540;ZEWACT_211121_Exp21_LG1;VEC0020a;VEV0078;Vocalisation;294906;299360;4454;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
456;541;ZEWACT_211121_Exp21_LG1;VEC0020a;VEV0079;Vocalisation;311661;318760;7099;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
488;577;ZEWACT_211121_Exp21_LG1;VEC0020b;VEV0307;Vocalisation;255226;259093;3867;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
489;578;ZEWACT_211121_Exp21_LG1;VEC0020b;VEV0074;Vocalisation;263089;266638;3549;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NV;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
490;579;ZEWACT_211121_Exp21_LG1;VEC0020b;VEV0075;Vocalisation;270880;279380;8500;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NV;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
497;586;ZEWACT_211121_Exp22_LG1;VEC0021a;VEV0080;Vocalisation;198066;201333;3267;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;None;Greet_rcp;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
504;593;ZEWACT_211121_Exp22_LG1;VEC0021b;VEV0242;Vocalisation;200920;206220;5300;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;KB;20;Female;Travel;Af_Lit_Greet;None;Greet_sgn;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
520;614;ZEWACT_231121_Exp23;VEC0022a;VEV0081;Vocalisation;155320;159412;4092;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
521;615;ZEWACT_231121_Exp23;VEC0022a;VEV0082;Vocalisation;164440;167883;3443;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
522;616;ZEWACT_231121_Exp23;VEC0022a;VEV0083;Vocalisation;174093;177246;3153;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
541;641;ZEWACT_231121_Exp24;VEC0023a;VEV0084;Vocalisation;272200;278573;6373;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
542;642;ZEWACT_231121_Exp24;VEC0023a;VEV0085;Vocalisation;297040;303280;6240;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
543;643;ZEWACT_231121_Exp24;VEC0023a;VEV0086;Vocalisation;309960;315000;5040;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
559;659;ZEWACT_231121_Exp24;VEC0023b;VEV0087;Vocalisation;314100;317666;3566;Exclude;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MN;26;Male;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
589;693;ZEWACT_251121_Exp25;VEC0024a;VEV0089;Vocalisation;72240;76413;4173;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
590;694;ZEWACT_251121_Exp25;VEC0024a;VEV0090;Vocalisation;79280;80760;1480;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
591;695;ZEWACT_251121_Exp25;VEC0024a;VEV0091;Vocalisation;83782;90000;6218;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
592;696;ZEWACT_251121_Exp25;VEC0024a;VEV0092;Vocalisation;93920;96386;2466;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NV;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
593;697;ZEWACT_251121_Exp25;VEC0024a;VEV0093;Vocalisation;100200;104480;4280;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
594;698;ZEWACT_251121_Exp25;VEC0024a;VEV0094;Vocalisation;107260;110540;3280;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
595;699;ZEWACT_251121_Exp25;VEC0024a;VEV0095;Vocalisation;119280;120240;960;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
596;700;ZEWACT_251121_Exp25;VEC0024a;VEV0096;Vocalisation;121020;127380;6360;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
621;726;ZEWACT_251121_Exp25;VEC0024b;VEV0097;Vocalisation;75222;77200;1978;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NV;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
622;727;ZEWACT_251121_Exp25;VEC0024b;VEV0098;Vocalisation;80540;83782;3242;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NV;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
623;728;ZEWACT_251121_Exp25;VEC0024b;VEV0099;Vocalisation;87889;91607;3718;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
624;729;ZEWACT_251121_Exp25;VEC0024b;VEV0100;Vocalisation;92960;100000;7040;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
625;730;ZEWACT_251121_Exp25;VEC0024b;VEV0101;Vocalisation;101700;110700;9000;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.15680396;Different;NA;NA;NA;NA;NA;NA;NA
632;738;ZEWACT_251121_Exp26;VEC0025a;VEV0102;Vocalisation;277040;282600;5560;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;MN;26;Male;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;TT;40;Female;0.178494222;Different;NA;NA;NA;NA;NA;NA;NA
634;740;ZEWACT_251121_Exp26;VEC0025b;VEV0243;Vocalisation;279560;281940;2380;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NA;TT;40;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MN;26;Male;0.178494222;Different;NA;NA;NA;NA;NA;NA;NA
639;774;ZEWACT_261121_Exp28;VEC0027a;VEV0108;Vocalisation;247960;250260;2300;NV;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;Not sure if seen KB;DM;46;Male;Listening;Af_Lit_Greet;Temp_gland_secr;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
640;775;ZEWACT_261121_Exp28;VEC0027a;VEV0109;Vocalisation;263729;268620;4891;NV;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NSG;DM;46;Male;Listening;Af_Lit_Greet;Temp_gland_secr;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
641;776;ZEWACT_261121_Exp28;VEC0027a;VEV0110;Vocalisation;298600;302638;4038;NV;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NSG;DM;46;Male;Listening;Af_Lit_Greet;Temp_gland_secr;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
642;777;ZEWACT_261121_Exp28;VEC0027a;VEV0111;Vocalisation;309860;314780;4920;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;DM;46;Male;Listening;Af_Lit_Greet;Temp_gland_secr;Greet_rcp;KB;20;Female;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
651;786;ZEWACT_261121_Exp28;VEC0027b;VEV0112;Vocalisation;303820;307897;4077;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NA;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.21952885;Different;NA;NA;NA;NA;NA;NA;NA
654;793;ZEWACT_271121_Exp30;VEC0028a;VEV0113;Vocalisation;224540;227640;3100;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;HW;20;Female;Rest;Af_Lit_Greet;None;Greet_unc;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
655;794;ZEWACT_271121_Exp30;VEC0028a;VEV0114;Vocalisation;230400;232460;2060;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;HW;20;Female;Rest;Af_Lit_Greet;None;Greet_unc;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
663;833;ZEWACT_281121_Exp31;VEC0030a;VEV0116;Vocalisation;458210;467900;9690;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_unc;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
673;844;ZEWACT_281121_Exp31;VEC0030b;VEV0117;Vocalisation;463900;470400;6500;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MN;26;Male;Drinking;Af_Lit_Greet;None;Greet_unc;DM;46;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
678;874;ZEWACT_291121_Exp33;VEC0032a;VEV0125;Vocalisation;208160;212280;4120;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;HW;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
679;875;ZEWACT_291121_Exp33;VEC0032a;VEV0126;Vocalisation;226640;231675;5035;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;HW;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
680;876;ZEWACT_291121_Exp33;VEC0032a;VEV0127;Vocalisation;242820;248540;5720;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;HW;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
681;877;ZEWACT_291121_Exp33;VEC0032a;VEV0128;Vocalisation;261040;267640;6600;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;HW;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
682;878;ZEWACT_291121_Exp33;VEC0032a;VEV0129;Vocalisation;272000;276440;4440;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;HW;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
689;885;ZEWACT_291121_Exp33;VEC0032b;VEV0130;Vocalisation;205760;209400;3640;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NSG;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
690;886;ZEWACT_291121_Exp33;VEC0032b;VEV0131;Vocalisation;224880;227320;2440;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NSG;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
691;887;ZEWACT_291121_Exp33;VEC0032b;VEV0132;Vocalisation;241457;245960;4503;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NSG;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
692;888;ZEWACT_291121_Exp33;VEC0032b;VEV0133;Vocalisation;263640;268240;4600;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;HW;20;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.122442521;Same;NA;NA;NA;NA;NA;NA;NA
704;901;ZEWACT_291121_Exp34;VEC0033a;VEV0134;Vocalisation;366680;371587;4907;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;TT;40;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;DM;46;Male;0.148925335;Different;NA;NA;NA;NA;NA;NA;NA
705;902;ZEWACT_291121_Exp34;VEC0033a;VEV0135;Vocalisation;381940;385860;3920;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;TT;40;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;DM;46;Male;0.148925335;Different;NA;NA;NA;NA;NA;NA;NA
706;903;ZEWACT_291121_Exp34;VEC0033a;VEV0136;Vocalisation;400760;407840;7080;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;TT;40;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;DM;46;Male;0.148925335;Different;NA;NA;NA;NA;NA;NA;NA
707;904;ZEWACT_291121_Exp34;VEC0033a;VEV0137;Vocalisation;414600;421057;6457;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;TT;40;Female;Travel;Af_Lit_Greet;Temp_gland_secr;Greet_sgn;DM;46;Male;0.148925335;Different;NA;NA;NA;NA;NA;NA;NA
720;918;ZEWACT_291121_Exp34;VEC0033b;VEV0138;Vocalisation;370840;374840;4000;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_unc;TT;40;Female;0.148925335;Different;NA;NA;NA;NA;NA;NA;NA
734;939;ZEWACT_301121_Exp35;VEC0034a;VEV0148;Vocalisation;171293;174920;3627;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;HW;20;Female;0.15680396;Different;Last part of com Unk because HW signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
735;940;ZEWACT_301121_Exp35;VEC0034a;VEV0149;Vocalisation;177280;180300;3020;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;HW;20;Female;0.15680396;Different;Last part of com Unk because HW signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
736;941;ZEWACT_301121_Exp35;VEC0034a;VEV0150;Vocalisation;184760;191540;6780;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;HW;20;Female;0.15680396;Different;Last part of com Unk because HW signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
737;942;ZEWACT_301121_Exp35;VEC0034a;VEV0151;Vocalisation;194690;200140;5450;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;HW;20;Female;0.15680396;Different;Last part of com Unk because HW signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
738;943;ZEWACT_301121_Exp35;VEC0034a;VEV0152;Vocalisation;203040;208760;5720;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;HW;20;Female;0.15680396;Different;Last part of com Unk because HW signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
749;954;ZEWACT_301121_Exp35;VEC0034b;VEV0139;Vocalisation;173760;175700;1940;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;NV;No;NA;HW;20;Female;Unk;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;DM;46;Male;0.15680396;Different;Last part of com Unk because she signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
750;955;ZEWACT_301121_Exp35;VEC0034b;VEV0140;Vocalisation;175700;177407;1707;Exclude_end;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Unk;No;NA;HW;20;Female;Unk;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;DM;46;Male;0.15680396;Different;Last part of com Unk because she signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
751;956;ZEWACT_301121_Exp35;VEC0034b;VEV0141;Vocalisation;179400;182560;3160;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;HW;20;Female;Unk;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;DM;46;Male;0.15680396;Different;Last part of com Unk because she signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
752;957;ZEWACT_301121_Exp35;VEC0034b;VEV0142;Vocalisation;185820;186450;630;Include;Trumpet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;NV;Yes;NA;HW;20;Female;Unk;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;DM;46;Male;0.15680396;Different;Last part of com Unk because she signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
753;958;ZEWACT_301121_Exp35;VEC0034b;VEV0143;Vocalisation;186450;188243;1793;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Unk;Yes;NA;HW;20;Female;Unk;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;DM;46;Male;0.15680396;Different;Last part of com Unk because she signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
754;959;ZEWACT_301121_Exp35;VEC0034b;VEV0144;Vocalisation;191580;192620;1040;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Yes;Yes;NA;HW;20;Female;Unk;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;DM;46;Male;0.15680396;Different;Last part of com Unk because she signals as she´s moving away so not sure if greeting still;NA;NA;NA;NA;NA;NA
